"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000165066",17.4059665395142,4.36277747849577,0.574499110423329,7.59405436725739,3.10048212139964e-14,4.57321112906447e-10
"ENSG00000127074",149.780226398877,4.57333387368789,0.625010133150488,7.31721556358629,2.53168999181303e-13,2.48949515861615e-09
"ENSG00000101057",361.887972325873,3.92366655996305,0.554211309128116,7.07973023166156,1.44435351797148e-12,1.06521071950396e-08
"ENSG00000262488",34.0867785159697,4.57801526361421,0.650250273978417,7.04038959584684,1.91703054848798e-12,1.13104802360791e-08
"ENSG00000112486",231.809768156334,2.45529864160126,0.350046350421062,7.01421008574391,2.31251699782214e-12,1.13698752392922e-08
"ENSG00000110777",1991.25426316944,3.75650864675105,0.539038828753813,6.96890176805186,3.19424627011127e-12,1.34614664240404e-08
"ENSG00000233355",327.70040744167,4.13771984987849,0.597850207477788,6.92099759793462,4.4847409477044e-12,1.64903962547478e-08
"ENSG00000263264",112.725140595428,3.76315327256567,0.545013302749298,6.90469985518261,5.03096834890612e-12,1.64903962547478e-08
"ENSG00000188822",201.860441521545,3.36411158634441,0.491322410788168,6.84705503448901,7.53857229301334e-12,2.22387882643893e-08
"ENSG00000136541",117.882023770155,3.28894176307522,0.488739021594464,6.72944376805717,1.70312888924871e-11,4.30559177731556e-08
"ENSG00000245164",921.046924783839,3.40980733702383,0.507627077047831,6.7171502293652,1.85312892781877e-11,4.30559177731556e-08
"ENSG00000249096",123.977512161942,3.37863249384488,0.503243776194856,6.71370944592999,1.8973794272916e-11,4.30559177731556e-08
"ENSG00000111913",1463.74159080745,2.66246624759891,0.398212540814695,6.68604319229078,2.29285379727859e-11,4.83137050140846e-08
"ENSG00000122188",239.882240123044,3.11563119814894,0.477250191967014,6.52829742259021,6.65215035680335e-11,1.23740541809131e-07
"ENSG00000161929",249.11934109523,3.14122010005513,0.481483401183549,6.52404650364603,6.84354757036731e-11,1.23740541809131e-07
"ENSG00000170006",355.234360303148,2.58202917138413,0.396952971308284,6.50462235582779,7.78887984548554e-11,1.27651086356569e-07
"ENSG00000173200",1797.61084577243,3.13516330048816,0.49304597941182,6.35876456031192,2.03382857008166e-10,3.15778646407415e-07
"ENSG00000068831",3489.5648015732,2.47709827512886,0.391509529022672,6.32704466047726,2.4990104576541e-10,3.68604042503979e-07
"ENSG00000197520",68.4605323686324,4.27836240827915,0.678093742268143,6.30939668307295,2.80125291694381e-10,3.93509338332582e-07
"ENSG00000028277",1162.04946790301,3.07488430646171,0.49031413532709,6.27125364111815,3.58152631417142e-10,4.80250119400259e-07
"ENSG00000074966",365.105245938043,2.58424907435043,0.41428132147728,6.23790873586888,4.43459234775909e-10,5.68784670690839e-07
"ENSG00000157303",383.23896295777,1.92337829634077,0.309357890908786,6.21732418297318,5.05704284009178e-10,6.21589463283885e-07
"ENSG00000188404",1157.58331526813,3.09040103872799,0.497945501709288,6.20630375838245,5.42452828106469e-10,6.21589463283885e-07
"ENSG00000042980",995.41688636309,2.79451497742896,0.450383219620446,6.20474932388467,5.47841560860374e-10,6.21589463283885e-07
"ENSG00000160505",20.0686235463867,5.86530317375099,0.949371644177113,6.17808969724903,6.48818516740746e-10,6.99967128802631e-07
"ENSG00000162897",78.6657488652284,7.13868484248701,1.15618462168832,6.17434682020136,6.64375579880463e-10,6.99967128802631e-07
"ENSG00000166501",1155.84288600257,2.85284109299518,0.462757097181686,6.1648780977531,7.05374592586884e-10,7.17536223493554e-07
"ENSG00000170054",59.0852187295725,7.26842479191174,1.18626319950154,6.12716030891449,8.94613256471563e-10,8.66942869014e-07
"ENSG00000247982",1716.26715692867,2.86978447919675,0.468913713294431,6.12006942393431,9.353459718057e-10,8.66942869014e-07
"ENSG00000268041",41.9244749439521,3.34376770949288,0.546437939070278,6.11920855126209,9.40412603676203e-10,8.66942869014e-07
"ENSG00000270164",216.533755896042,2.49193204527871,0.407933068210678,6.10867870116317,1.00459335290459e-09,8.9804557305107e-07
"ENSG00000007312",1035.62200401557,3.1449807113757,0.515690575434444,6.098580934364,1.07014211471237e-09,9.01497595446378e-07
"ENSG00000144554",503.207455443605,1.75212873058395,0.287509217907228,6.09416540915681,1.10009865655229e-09,9.01497595446378e-07
"ENSG00000083454",1079.31222574656,3.84017178497709,0.630139591421108,6.09416046421815,1.10013265884982e-09,9.01497595446378e-07
"ENSG00000174130",419.259843088345,2.61431569427243,0.429614189635087,6.08526384217667,1.16299630847047e-09,9.27253813510242e-07
"ENSG00000186265",184.594027131832,3.44837835558212,0.56800026405653,6.07108583181737,1.27048257039319e-09,9.86295679647346e-07
"ENSG00000065357",3644.46586911353,2.02730623699596,0.334378656144643,6.06290563031333,1.33684111312768e-09,1.00273940938066e-06
"ENSG00000172578",1300.75875680706,2.75474776496843,0.45456492576505,6.06018548468535,1.35964665678734e-09,1.00273940938066e-06
"ENSG00000007968",160.806054237206,2.56126470967684,0.425342557152926,6.02165164666552,1.72646159326704e-09,1.24221017076531e-06
"ENSG00000138160",249.32632054424,1.44193604237322,0.239774144064633,6.01372615883276,1.81306686172453e-09,1.27346362906842e-06
"ENSG00000124721",41.4814449975111,3.70998761733205,0.617818111366393,6.00498358509899,1.91351262758023e-09,1.29200472578209e-06
"ENSG00000180549",68.6612130567612,2.76889088495566,0.461927543738889,5.99421039616727,2.04476503282317e-09,1.29200472578209e-06
"ENSG00000163568",237.090104418042,3.50010143129085,0.584114140696828,5.99215322388077,2.07080672765254e-09,1.29200472578209e-06
"ENSG00000259772",174.653379307036,2.67891450964543,0.44709591830582,5.99181160006256,2.07516250437944e-09,1.29200472578209e-06
"ENSG00000137265",1004.9044570547,3.20542457644109,0.535143983189717,5.9898357771589,2.10053031056759e-09,1.29200472578209e-06
"ENSG00000167077",416.512093835842,2.27224272555137,0.379358158523995,5.98970306686484,2.10224497754374e-09,1.29200472578209e-06
"ENSG00000178199",410.194605683461,2.82022494887668,0.472032156970415,5.97464581010197,2.30590613534073e-09,1.38824961209289e-06
"ENSG00000260682",485.832537460895,1.92499802286248,0.323142272024991,5.95712226320427,2.5671818888486e-09,1.51137336760312e-06
"ENSG00000116191",1285.47359989536,1.52371512802483,0.255904355656245,5.95423678552633,2.61288277111048e-09,1.51137336760312e-06
"ENSG00000186854",229.279376604407,2.54541570743777,0.429176051704292,5.93093602806989,3.01212561586144e-09,1.6814812638916e-06
