"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000134443",15.8565450697657,-22.1702642318013,2.03767193470189,-10.8801931529006,1.4325907970823e-27,4.22614285139278e-23
"ENSG00000110680",1524.15718722265,-9.03670047408347,1.3864478618371,-6.51787977234821,7.13081088391602e-11,1.23740541809131e-07
"ENSG00000157613",621.105440586409,-1.29951752446805,0.231983330437944,-5.60177113594663,2.12172579066725e-08,6.98499807090941e-06
"ENSG00000163873",98.219371846124,-2.03124213294135,0.37159308760737,-5.46630763779864,4.59506574609575e-08,1.24361871109931e-05
"ENSG00000148180",86359.9907134648,-1.09277772175022,0.214580986924887,-5.0926120594866,3.53163850009618e-07,5.87652989083844e-05
"ENSG00000120332",254.082508768811,-2.82533748190365,0.559161327175679,-5.05281274757398,4.35350667986137e-07,6.68898161749533e-05
"ENSG00000170876",7879.51146230939,-0.504531951883732,0.105890442996556,-4.76465994103114,1.89172413516649e-06,0.000196541348621191
"ENSG00000173269",4416.05942428135,-0.70673240726585,0.148513557515939,-4.75870633689455,1.94837656225493e-06,0.000200268671033172
"ENSG00000198853",4624.4774710648,-0.568346381923733,0.120057131720958,-4.73396601915085,2.20174604055243e-06,0.000216975850427346
"ENSG00000172037",27087.5790409964,-0.570333696362799,0.124649025229375,-4.57551669829177,4.75046072281019e-06,0.000374702115836633
"ENSG00000119280",6168.53000047564,-0.888785400448871,0.194568995287676,-4.5679703445802,4.9246968631004e-06,0.00038366815237608
"ENSG00000073008",1836.77767398809,-0.610398602721595,0.13966872463394,-4.37033132737053,1.24058152608359e-05,0.000775363453802241
"ENSG00000148120",3131.44341489047,-0.591533271147345,0.137598770105052,-4.29897208162346,1.71592083427033e-05,0.000992542443352447
"ENSG00000268358",91.0877292186971,-0.88917115067332,0.209252901628748,-4.24926557171889,2.14472528794047e-05,0.00117165548137489
"ENSG00000162734",10360.3813073553,-0.502546417711515,0.118395845691639,-4.24462881088239,2.18955562953388e-05,0.00119393513994916
"ENSG00000171206",9313.73219482793,-0.384107446117633,0.0911905147129981,-4.21214253836077,2.52959829845385e-05,0.00132076371335201
"ENSG00000205363",259.849572564578,-1.19975282924109,0.287576950823268,-4.17193667923132,3.02021577081021e-05,0.00150500616957603
"ENSG00000109089",833.102666195007,-0.712464201660281,0.171392605436713,-4.15691330349346,3.22576332415541e-05,0.00158336136543402
"ENSG00000155011",86.4396728568241,-1.96453790519071,0.472785582821719,-4.1552407191983,3.24945249126102e-05,0.00159233967595017
"ENSG00000172765",1716.25317807712,-0.365540902716437,0.0885166182184287,-4.12963023298525,3.63347137892144e-05,0.0017470665387014
"ENSG00000180875",110.068249732187,-2.05293460918542,0.501904577366623,-4.09028867590069,4.30836610217253e-05,0.00200152440967071
"ENSG00000135046",16497.9495245995,-0.853133597341044,0.210552067201913,-4.05188896351663,5.08057767832095e-05,0.00226742876717803
"ENSG00000164530",2024.25785010573,-2.1525390400355,0.533389216941104,-4.03558784405119,5.4465756252146e-05,0.0023733232044879
"ENSG00000171056",1032.1707186609,-1.16474144445682,0.289309418998827,-4.02593682738531,5.67489240374639e-05,0.00244393176511706
"ENSG00000149564",11473.2143542492,-0.664525422961166,0.1652685262526,-4.02088309267967,5.79803757791251e-05,0.00249332519749882
"ENSG00000151468",2727.14801055615,-1.40962082009722,0.352195336114575,-4.00238355126498,6.27075335432016e-05,0.00265250114807347
"ENSG00000197256",11382.4191132233,-0.661599111254955,0.16530958341039,-4.00218243616584,6.27608746222128e-05,0.00265250114807347
"ENSG00000105538",2099.03392072975,-0.527799734026546,0.131902105611061,-4.00145040582495,6.29553914913952e-05,0.00265691566379994
"ENSG00000238286",17.7081891580713,-1.47850155277077,0.370199122865854,-3.99380079921616,6.50224972534483e-05,0.00272242797231878
"ENSG00000167157",479.576460403885,-0.882898586401936,0.221365522112286,-3.98841959658962,6.65149389760559e-05,0.00277145579066899
"ENSG00000187800",3997.25908481463,-0.54284654128286,0.136409050317868,-3.97954930422791,6.90460399831026e-05,0.00284692166428861
"ENSG00000224597",1108.9689639147,-0.557411283755977,0.141172694963462,-3.94843552359926,7.86635961975343e-05,0.00310237444896693
"ENSG00000112186",824.952100669953,-0.880023261487519,0.224042668012736,-3.92792707430843,8.5681181401283e-05,0.00330404555730438
"ENSG00000006327",1610.7782381407,-1.97684166401106,0.503641107809797,-3.92509990419134,8.66937506282782e-05,0.00333437502416455
"ENSG00000144063",232.901315017948,-1.161112491064,0.296111813653008,-3.9211961074428,8.81105176512371e-05,0.00336691744910815
"ENSG00000108861",5028.1390005258,-0.564248606200729,0.144254566892561,-3.91147828699921,9.17329045753658e-05,0.00347830422233071
"ENSG00000196526",2534.6077131152,-0.420353597916909,0.107619956962111,-3.90590750807398,9.38724153479633e-05,0.00354575704579375
"ENSG00000123610",47.2626999127256,-1.69494918971818,0.43542064650824,-3.89267069283567,9.91466936742941e-05,0.00371170997892345
"ENSG00000088256",5325.55513653092,-0.476522072130948,0.122679539493912,-3.88428318280894,0.000102632232223538,0.00381316228034557
"ENSG00000142798",26212.7477847351,-0.590177479977136,0.153117017254404,-3.85442121692166,0.000116003729696125,0.00421442121432967
"ENSG00000189056",1089.19822016501,-1.06567439831654,0.276642402822215,-3.85217301268669,0.000117074254816717,0.004242863043112
"ENSG00000006128",183.272814771287,-2.03584814498275,0.528994364044022,-3.84852520813119,0.000118831070589593,0.00429597620391299
"ENSG00000226953",9.21784429166955,-1.63342938767487,0.424676208042346,-3.84629361556322,0.000119918050021218,0.00432996631043566
"ENSG00000044115",18676.7748046232,-0.543025172249677,0.141263634568026,-3.84405493961845,0.000121017894500656,0.00434838963187497
"ENSG00000160862",104.584169660869,-2.72539133127073,0.711387533072103,-3.8310923435799,0.000127575609926952,0.00452924428509204
"ENSG00000198788",13.3124192485934,-2.36950691849591,0.620048813877272,-3.82148447906702,0.000132650763934184,0.00468085829672061
"ENSG00000107863",6135.15648095049,-0.533981061176238,0.139878148923168,-3.81747303125624,0.00013482551951773,0.00474058739663056
"ENSG00000080845",5574.46498069737,-0.514751102443848,0.134945612948805,-3.81450786873029,0.00013645458932758,0.0047807724289354
"ENSG00000136238",11532.6864554787,-0.325429294582112,0.0854605472160634,-3.80794770432904,0.00014012489600839,0.00489193423934615
"ENSG00000173281",2066.32007767594,-0.586471053832152,0.154037303841302,-3.80733133602734,0.000140474481960225,0.00489255869873274
"ENSG00000110237",13717.4078762932,-0.42007952285333,0.110864363441267,-3.78913033741339,0.000151175586481849,0.00520382707259574
"ENSG00000172061",448.560543762276,-1.98648520047899,0.525898498208063,-3.77731673934743,0.000158527072078491,0.0053630144797196
"ENSG00000183682",538.276008385466,-1.86552361411104,0.494306861472647,-3.77401925709314,0.000160638352798265,0.00540962489446212
"ENSG00000006704",2935.44809294474,-0.656901563505285,0.174116789038723,-3.77276405757283,0.000161448950853358,0.00541836638245057
"ENSG00000133816",846.20774681475,-0.964404219767837,0.256822455246877,-3.7551397865143,0.000173244759712562,0.00569757013547445
"ENSG00000142279",1357.02893183927,-0.604256406594887,0.16121922827652,-3.74804180031477,0.000178220557622346,0.005835190288412
"ENSG00000172889",7129.986560102,-0.716197617808653,0.191449852253713,-3.74091496743249,0.000183351550783251,0.00597005601336191
"ENSG00000125046",165.95201312661,-1.1613212775739,0.31047985188707,-3.7404078574358,0.000183721889523268,0.00597383997431741
"ENSG00000158470",2627.51469500564,-0.525155493684673,0.140830627068218,-3.72898640457157,0.00019225152297763,0.00619150647144114
"ENSG00000176845",3266.67724129757,-0.657946628640442,0.177598833864294,-3.70467876575806,0.000211658794383515,0.00662135146798907
"ENSG00000181588",735.545765542857,-0.703087011956628,0.190083986274696,-3.69882295576744,0.000216601617689915,0.00675449019223307
"ENSG00000137507",7095.14743183559,-0.900375554648217,0.243678551055009,-3.69493150197271,0.000219946073892443,0.00683710134860598
