"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000110777",1991.25426316944,-5.58477787402009,0.540187109355479,-10.3385989359937,4.71378536144042e-25,1.51859309204165e-20,"POU2AF1","5450"
"ENSG00000134443",15.8565450697657,20.2083121835446,2.04136651422826,9.89940417004654,4.18762427701157e-23,6.74542518541024e-19,"GRP","2922"
"ENSG00000230006",839.494909820157,-4.95157745790839,0.513984147918807,-9.63371628864044,5.76075125985982e-22,6.18627875292147e-18,"ANKRD36BP2","645784"
"ENSG00000137265",1004.9044570547,-5.06932413820878,0.536827165851127,-9.44312147499371,3.6183621183966e-21,2.91422885015662e-17,"IRF4","3662"
"ENSG00000156738",5226.53051460219,-7.42853733796805,0.792444488575697,-9.37420531666483,6.96988233289328e-21,4.4908345847298e-17,"MS4A1","931"
"ENSG00000177455",1253.05359529907,-7.58056514972693,0.828192669917017,-9.15314204662845,5.5301194987254e-20,2.96930549618229e-16,"CD19","930"
"ENSG00000211640",1071.51473491082,-8.10581679435911,0.888630991507211,-9.12169041123672,7.39615502434293e-20,3.4039218609176e-16,NA,NA
"ENSG00000244116",934.589523925714,-6.76179611039047,0.742906366742648,-9.10181472806362,8.88348797545975e-20,3.57738060771764e-16,NA,NA
"ENSG00000143297",1761.5627757109,-6.33599763233381,0.699157956701621,-9.06232643367859,1.27697378697719e-19,4.57099861347301e-16,"FCRL5","83416"
"ENSG00000211895",58858.0169865427,-6.0676639038556,0.672611716024284,-9.02104997474729,1.86295073889037e-19,5.31220260834132e-16,NA,NA
"ENSG00000083454",1079.31222574656,-5.69026792593758,0.632090578516812,-9.00229827707554,2.21041065196706e-19,5.31220260834132e-16,"P2RX5","5026"
"ENSG00000127074",149.780226398877,-5.71658451599929,0.635112821498466,-9.00089609671514,2.23882756332067e-19,5.31220260834132e-16,"RGS13","6003"
"ENSG00000245164",921.046924783839,-4.57727373214876,0.508641030633291,-8.99902574994738,2.27729502046992e-19,5.31220260834132e-16,"LINC00861","100130231"
"ENSG00000026751",776.861675434959,-4.47417082967001,0.49748076035275,-8.99365600892283,2.39140086955978e-19,5.31220260834132e-16,"SLAMF7","57823"
"ENSG00000122188",239.882240123044,-4.32309876364772,0.480881220388834,-8.98995132343102,2.47339952586043e-19,5.31220260834132e-16,"LAX1","54900"
"ENSG00000205056",280.463495168341,-6.6135799860522,0.740852013798762,-8.92699198068002,4.37749141199924e-19,8.81407895806048e-16,NA,NA
"ENSG00000035720",176.885056310946,-6.23428430829124,0.70012581787674,-8.90451994356935,5.36175716111061e-19,1.01608452177847e-15,"STAP1","26228"
"ENSG00000226777",432.319926859338,-6.66887529442891,0.754465842648408,-8.83920108433154,9.64054718758037e-19,1.72544371219494e-15,"FAM30A","9834"
"ENSG00000187862",99.0542735333606,-5.35635613667843,0.607294649753794,-8.82002852956136,1.14430562073185e-18,1.94026051986828e-15,"TTC24","164118"
"ENSG00000104921",439.714432315686,-7.02166504725171,0.797778870412848,-8.80151794897502,1.34977849787682e-18,2.12322394585488e-15,"FCER2","2208"
"ENSG00000173200",1797.61084577243,-4.34236989833236,0.493523677202608,-8.79870632133758,1.38402355546786e-18,2.12322394585488e-15,"PARP15","165631"
"ENSG00000167483",930.438712287091,-6.99946993294247,0.79629213131338,-8.79007798481915,1.49456186796943e-18,2.18858205175014e-15,"NIBAN3","199786"
"ENSG00000007312",1035.62200401557,-4.5303004198587,0.516679439735995,-8.76810662753201,1.81695727212512e-18,2.54500415125143e-15,"CD79B","974"
"ENSG00000160856",966.892358476837,-6.31516758964073,0.722074978153119,-8.74586127578233,2.21320890686928e-18,2.97086408932086e-15,"FCRL3","115352"
"ENSG00000233355",327.70040744167,-5.25563238011096,0.601405597824682,-8.73891496707193,2.35359933721399e-18,3.03294224990744e-15,"CHRM3-AS2","100506915"
